  4.8649 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  4.9249 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  4.9850 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.0450 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.1051 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.1652 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.2252 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.2853 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.3453 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.4054 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.4655 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.5255 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.5856 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.6456 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.7057 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.7658 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.8258 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.8859 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  5.9459 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.0060 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.0661 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.1261 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.1862 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.2462 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.3063 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.3664 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.4264 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.4865 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.5465 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.6066 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.6667 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.7267 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.7868 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.8468 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.9069 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  6.9670 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.0270 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.0871 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.1471 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.2072 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.2673 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.3273 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.3874 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.4474 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.5075 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.5676 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.6276 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.6877 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.7477 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.8078 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.8679 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.9279 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  7.9880 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.0480 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.1081 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.1682 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.2282 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.2883 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.3483 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.4084 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.4685 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.5285 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.5886 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.6486 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.7087 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.7688 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.8288 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.8889 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  8.9489 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.0090 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.0691 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.1291 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.1892 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.2492 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.3093 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.3694 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.4294 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.4895 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.5495 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.6096 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.6697 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.7297 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.7898 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.8498 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.9099 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
  9.9700 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.0300 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.0901 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.1502 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.2102 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.2703 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.3303 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.3904 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.4505 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.5105 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.5706 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.6306 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.6907 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.7508 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.8108 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.8709 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.9309 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 10.9910 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.0511 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.1111 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.1712 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.2312 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.2913 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.3514 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.4114 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.4715 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.5315 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.5916 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.6517 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.7117 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.7718 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.8318 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.8919 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 11.9520 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.0120 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.0721 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.1321 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.1922 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.2523 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.3123 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.3724 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.4324 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.4925 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.5526 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.6126 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.6727 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.7327 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.7928 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.8529 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.9129 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 12.9730 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.0330 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.0931 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.1532 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.2132 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.2733 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.3333 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.3934 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.4535 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.5135 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.5736 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.6336 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.6937 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.7538 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.8138 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.8739 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.9339 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 13.9940 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.0541 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.1141 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.1742 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.2342 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.2943 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.3544 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.4144 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.4745 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.5345 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.5946 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.6547 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.7147 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.7748 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.8348 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.8949 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 14.9550 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.0150 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.0751 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.1351 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.1952 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.2553 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.3153 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.3754 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.4354 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.4955 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.5556 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.6156 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.6757 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.7357 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.7958 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.8559 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.9159 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 15.9760 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.0360 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.0961 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.1562 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.2162 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.2763 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.3363 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.3964 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.4565 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.5165 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.5766 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.6366 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.6967 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.7568 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.8168 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.8769 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.9369 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 16.9970 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.0571 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.1171 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.1772 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.2372 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.2973 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.3574 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.4174 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.4775 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.5375 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.5976 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.6577 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.7177 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.7778 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.8378 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.8979 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 17.9580 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.0180 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.0781 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.1381 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.1982 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.2583 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.3183 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.3784 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.4384 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.4985 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.5586 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.6186 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.6787 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.7387 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.7988 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.8589 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.9189 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 18.9790 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.0390 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.0991 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.1592 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.2192 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.2793 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.3393 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.3994 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.4595 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.5195 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.5796 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.6396 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.6997 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.7598 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.8198 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.8799 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 19.9399 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.0000 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.0601 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.1201 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.1802 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.2402 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.3003 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.3604 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.4204 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.4805 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.5405 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.6006 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.6607 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.7207 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.7808 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.8408 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.9009 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 20.9610 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.0210 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.0811 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.1411 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.2012 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.2613 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.3213 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.3814 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.4414 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.5015 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.5616 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.6216 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.6817 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.7417 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.8018 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.8619 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.9219 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 21.9820 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.0420 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.1021 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.1622 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.2222 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.2823 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.3423 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.4024 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.4625 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.5225 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.5826 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
 22.6426 0.0561 0.0379 0.0000 0.0094 0.1304 0.7662 
