       D_1      total
    0.7556     0.7556
    0.8178     0.8178
    0.8267     0.8267
    0.8178     0.8178
    0.7422     0.7422
    0.7822     0.7822
    0.7511     0.7511
    0.8222     0.8222
    0.8044     0.8044
    0.7822     0.7822
    0.8000     0.8000
    0.8133     0.8133
    0.7822     0.7822
    0.8267     0.8267
    0.7556     0.7556
    0.7333     0.7333
    0.7822     0.7822
    0.7467     0.7467
    0.7956     0.7956
    0.8089     0.8089
    0.7822     0.7822
    0.8044     0.8044
    0.7244     0.7244
    0.7911     0.7911
    0.8222     0.8222
    0.7467     0.7467
    0.7689     0.7689
    0.8044     0.8044
    0.7111     0.7111
    0.7778     0.7778
    0.7867     0.7867
    0.7644     0.7644
    0.8000     0.8000
    0.7956     0.7956
    0.7333     0.7333
    0.7956     0.7956
    0.7244     0.7244
    0.7689     0.7689
    0.8133     0.8133
    0.7911     0.7911
    0.8089     0.8089
    0.7556     0.7556
    0.7956     0.7956
    0.8044     0.8044
    0.8133     0.8133
    0.7778     0.7778
    0.7867     0.7867
    0.7511     0.7511
    0.7556     0.7556
    0.7689     0.7689
    0.8000     0.8000
    0.7156     0.7156
    0.7556     0.7556
    0.7467     0.7467
    0.7378     0.7378
    0.7422     0.7422
    0.8000     0.8000
    0.8044     0.8044
    0.7733     0.7733
    0.7867     0.7867
    0.8089     0.8089
    0.7467     0.7467
    0.8400     0.8400
    0.7822     0.7822
    0.7378     0.7378
    0.7733     0.7733
    0.7956     0.7956
    0.8133     0.8133
    0.7867     0.7867
    0.8133     0.8133
    0.7644     0.7644
    0.8044     0.8044
    0.8222     0.8222
    0.7911     0.7911
    0.8133     0.8133
    0.8178     0.8178
    0.7956     0.7956
    0.7511     0.7511
    0.7467     0.7467
    0.7467     0.7467
    0.7600     0.7600
    0.8000     0.8000
    0.8000     0.8000
    0.8044     0.8044
    0.7956     0.7956
    0.8267     0.8267
    0.8133     0.8133
    0.7956     0.7956
    0.7956     0.7956
    0.7289     0.7289
    0.7822     0.7822
    0.8222     0.8222
    0.7733     0.7733
    0.7556     0.7556
    0.8044     0.8044
    0.7644     0.7644
    0.7111     0.7111
    0.7556     0.7556
    0.8000     0.8000
    0.7911     0.7911
    0.8133     0.8133
    0.7822     0.7822
    0.7778     0.7778
    0.8133     0.8133
    0.8133     0.8133
    0.7867     0.7867
    0.8000     0.8000
    0.7200     0.7200
    0.7111     0.7111
    0.7244     0.7244
    0.7289     0.7289
    0.7511     0.7511
    0.6978     0.6978
    0.6844     0.6844
    0.7289     0.7289
    0.7689     0.7689
    0.8000     0.8000
    0.7644     0.7644
    0.7689     0.7689
    0.7556     0.7556
    0.8089     0.8089
    0.8000     0.8000
    0.8222     0.8222
    0.7778     0.7778
    0.7778     0.7778
    0.8089     0.8089
    0.7333     0.7333
    0.8044     0.8044
    0.8222     0.8222
    0.7200     0.7200
    0.7867     0.7867
    0.7822     0.7822
    0.8000     0.8000
    0.8000     0.8000
    0.7956     0.7956
    0.7689     0.7689
    0.7822     0.7822
    0.6667     0.6667
    0.7600     0.7600
    0.7511     0.7511
    0.7733     0.7733
    0.7733     0.7733
    0.7600     0.7600
    0.8133     0.8133
    0.7911     0.7911
    0.8044     0.8044
    0.7422     0.7422
    0.8000     0.8000
    0.7600     0.7600
    0.7822     0.7822
    0.7911     0.7911
    0.7156     0.7156
    0.8089     0.8089
    0.7911     0.7911
    0.6978     0.6978
    0.8133     0.8133
    0.8000     0.8000
    0.8267     0.8267
    0.8089     0.8089
    0.7689     0.7689
    0.8044     0.8044
    0.8133     0.8133
    0.7244     0.7244
    0.7644     0.7644
    0.8178     0.8178
    0.8089     0.8089
    0.7867     0.7867
    0.8000     0.8000
    0.7733     0.7733
    0.8000     0.8000
    0.8000     0.8000
    0.7911     0.7911
    0.7556     0.7556
    0.7200     0.7200
    0.7689     0.7689
    0.7422     0.7422
    0.7822     0.7822
    0.7600     0.7600
    0.7333     0.7333
    0.6756     0.6756
    0.7644     0.7644
    0.7867     0.7867
    0.7289     0.7289
    0.7511     0.7511
    0.7156     0.7156
    0.7644     0.7644
    0.6933     0.6933
    0.7822     0.7822
    0.8000     0.8000
    0.8178     0.8178
    0.8178     0.8178
    0.7644     0.7644
    0.7511     0.7511
    0.7244     0.7244
    0.7600     0.7600
    0.7244     0.7244
    0.7733     0.7733
    0.7644     0.7644
    0.8178     0.8178
    0.7511     0.7511
    0.7556     0.7556
    0.8267     0.8267
    0.8044     0.8044
    0.7511     0.7511
    0.7511     0.7511
    0.7778     0.7778
    0.7822     0.7822
    0.8178     0.8178
    0.7689     0.7689
    0.7867     0.7867
    0.7111     0.7111
    0.8000     0.8000
    0.8000     0.8000
    0.7556     0.7556
    0.8133     0.8133
    0.7644     0.7644
    0.7467     0.7467
    0.8133     0.8133
    0.8267     0.8267
    0.8044     0.8044
    0.8267     0.8267
    0.8178     0.8178
    0.8000     0.8000
    0.7956     0.7956
    0.8089     0.8089
    0.7956     0.7956
    0.7956     0.7956
    0.7733     0.7733
    0.8356     0.8356
    0.8533     0.8533
    0.7689     0.7689
    0.7600     0.7600
    0.7867     0.7867
    0.7733     0.7733
    0.8089     0.8089
    0.7911     0.7911
    0.7644     0.7644
    0.7822     0.7822
    0.7733     0.7733
    0.7511     0.7511
    0.8178     0.8178
    0.8044     0.8044
    0.8044     0.8044
    0.7956     0.7956
    0.7600     0.7600
    0.7867     0.7867
    0.7378     0.7378
    0.8000     0.8000
    0.7600     0.7600
    0.7911     0.7911
    0.7867     0.7867
    0.7422     0.7422
    0.7911     0.7911
    0.7956     0.7956
    0.8089     0.8089
    0.8311     0.8311
    0.8089     0.8089
    0.7378     0.7378
    0.7911     0.7911
    0.8000     0.8000
    0.7778     0.7778
    0.7733     0.7733
    0.8311     0.8311
    0.7467     0.7467
    0.7511     0.7511
    0.8222     0.8222
    0.8133     0.8133
    0.8267     0.8267
    0.8044     0.8044
    0.8000     0.8000
    0.8089     0.8089
    0.7556     0.7556
    0.8267     0.8267
    0.8400     0.8400
    0.8000     0.8000
    0.7511     0.7511
    0.8178     0.8178
    0.7600     0.7600
    0.7956     0.7956
    0.7511     0.7511
    0.7822     0.7822
    0.8178     0.8178
    0.8356     0.8356
    0.7644     0.7644
    0.8400     0.8400
    0.7422     0.7422
    0.7689     0.7689
    0.8222     0.8222
    0.7644     0.7644
    0.7156     0.7156
    0.7644     0.7644
    0.8044     0.8044
    0.8044     0.8044
    0.8000     0.8000
    0.7511     0.7511
    0.8178     0.8178
    0.7822     0.7822
    0.7467     0.7467
    0.7644     0.7644
    0.7289     0.7289
    0.7467     0.7467
    0.7822     0.7822
    0.7956     0.7956
    0.7333     0.7333
    0.7422     0.7422
    0.7689     0.7689
    0.8133     0.8133
    0.7689     0.7689
    0.7644     0.7644
    0.8178     0.8178
    0.7689     0.7689
    0.7644     0.7644
    0.7556     0.7556
    0.7956     0.7956
    0.7911     0.7911
    0.8311     0.8311
    0.8044     0.8044
    0.7644     0.7644
    0.7733     0.7733
    0.7911     0.7911
    0.8311     0.8311
    0.8044     0.8044
    0.8044     0.8044
    0.7911     0.7911
    0.7600     0.7600
    0.7289     0.7289
    0.7422     0.7422
    0.7822     0.7822
    0.7956     0.7956
    0.7733     0.7733
    0.7600     0.7600
    0.8267     0.8267
    0.8089     0.8089
    0.8133     0.8133
    0.7956     0.7956
    0.8133     0.8133
    0.7778     0.7778
    0.8000     0.8000
    0.7244     0.7244
    0.7822     0.7822
    0.7822     0.7822
    0.8222     0.8222
    0.7911     0.7911
    0.7911     0.7911
    0.7778     0.7778
    0.8444     0.8444
    0.7378     0.7378
    0.7733     0.7733
    0.7644     0.7644
    0.7911     0.7911
    0.7956     0.7956
    0.8044     0.8044
    0.8356     0.8356
    0.7778     0.7778
    0.7778     0.7778
    0.7511     0.7511
    0.7911     0.7911
    0.7289     0.7289
    0.7511     0.7511
    0.7556     0.7556
    0.7822     0.7822
    0.7644     0.7644
    0.7511     0.7511
    0.7689     0.7689
    0.7600     0.7600
    0.7867     0.7867
    0.7644     0.7644
    0.7689     0.7689
    0.7956     0.7956
    0.7644     0.7644
    0.7378     0.7378
    0.7689     0.7689
    0.7911     0.7911
    0.7644     0.7644
    0.7644     0.7644
    0.8311     0.8311
    0.8044     0.8044
    0.8044     0.8044
    0.8267     0.8267
    0.7822     0.7822
    0.8356     0.8356
    0.7556     0.7556
    0.7867     0.7867
    0.7956     0.7956
    0.8000     0.8000
    0.8089     0.8089
    0.7689     0.7689
    0.7822     0.7822
    0.7822     0.7822
    0.7556     0.7556
    0.7156     0.7156
    0.7867     0.7867
    0.7378     0.7378
    0.7333     0.7333
    0.8178     0.8178
    0.7600     0.7600
    0.7867     0.7867
    0.8311     0.8311
    0.8133     0.8133
    0.8400     0.8400
    0.8044     0.8044
    0.7600     0.7600
    0.7511     0.7511
    0.8133     0.8133
    0.7778     0.7778
    0.8400     0.8400
    0.7911     0.7911
    0.8000     0.8000
    0.7422     0.7422
    0.8133     0.8133
    0.8267     0.8267
    0.8267     0.8267
    0.8000     0.8000
    0.7689     0.7689
    0.7200     0.7200
    0.8222     0.8222
    0.7689     0.7689
    0.7956     0.7956
    0.7822     0.7822
    0.8089     0.8089
    0.8044     0.8044
    0.8000     0.8000
    0.7422     0.7422
    0.7244     0.7244
    0.7733     0.7733
    0.7644     0.7644
    0.7644     0.7644
    0.8178     0.8178
    0.7689     0.7689
    0.7644     0.7644
    0.7822     0.7822
    0.8000     0.8000
    0.8267     0.8267
    0.8000     0.8000
    0.7244     0.7244
    0.8222     0.8222
    0.7644     0.7644
    0.8400     0.8400
    0.7644     0.7644
    0.8267     0.8267
    0.8000     0.8000
    0.8178     0.8178
    0.7689     0.7689
    0.8311     0.8311
    0.8000     0.8000
    0.7956     0.7956
    0.8044     0.8044
    0.7422     0.7422
    0.7644     0.7644
    0.7244     0.7244
    0.7867     0.7867
    0.8133     0.8133
    0.7956     0.7956
    0.7733     0.7733
    0.7822     0.7822
    0.8222     0.8222
    0.7378     0.7378
    0.8000     0.8000
    0.8133     0.8133
    0.8356     0.8356
    0.7689     0.7689
    0.7867     0.7867
    0.7778     0.7778
    0.7822     0.7822
    0.7911     0.7911
    0.8222     0.8222
    0.7511     0.7511
    0.8267     0.8267
    0.7644     0.7644
    0.7289     0.7289
    0.7822     0.7822
    0.7911     0.7911
    0.7689     0.7689
    0.7600     0.7600
    0.8133     0.8133
    0.7689     0.7689
    0.8133     0.8133
    0.7867     0.7867
    0.8178     0.8178
    0.7867     0.7867
    0.7956     0.7956
    0.7511     0.7511
    0.7822     0.7822
    0.8044     0.8044
    0.7822     0.7822
    0.7689     0.7689
    0.7911     0.7911
    0.7733     0.7733
    0.7956     0.7956
    0.7422     0.7422
    0.7511     0.7511
    0.8044     0.8044
    0.7067     0.7067
    0.7689     0.7689
    0.7778     0.7778
    0.7111     0.7111
    0.7111     0.7111
    0.7644     0.7644
    0.7111     0.7111
    0.7600     0.7600
    0.8044     0.8044
    0.8133     0.8133
    0.7956     0.7956
    0.7289     0.7289
    0.7778     0.7778
    0.7956     0.7956
    0.7778     0.7778
    0.7289     0.7289
    0.7911     0.7911
    0.7467     0.7467
    0.7244     0.7244
    0.7867     0.7867
    0.7600     0.7600
    0.7378     0.7378
    0.7689     0.7689
    0.7867     0.7867
    0.8089     0.8089
    0.8000     0.8000
    0.7111     0.7111
    0.8311     0.8311
    0.7511     0.7511
    0.7956     0.7956
    0.7289     0.7289
    0.7822     0.7822
    0.7956     0.7956
    0.7867     0.7867
    0.8089     0.8089
    0.7911     0.7911
    0.7822     0.7822
    0.7422     0.7422
    0.7733     0.7733
    0.7200     0.7200
    0.7911     0.7911
    0.7689     0.7689
    0.8178     0.8178
    0.8133     0.8133
    0.7778     0.7778
    0.7556     0.7556
    0.7867     0.7867
    0.8044     0.8044
    0.8178     0.8178
    0.7867     0.7867
    0.7556     0.7556
    0.8133     0.8133
    0.7733     0.7733
    0.7467     0.7467
    0.7644     0.7644
    0.7733     0.7733
    0.7333     0.7333
    0.8178     0.8178
    0.7556     0.7556
    0.8267     0.8267
    0.7778     0.7778
    0.7956     0.7956
    0.8133     0.8133
    0.8400     0.8400
    0.7911     0.7911
    0.7822     0.7822
    0.8089     0.8089
    0.7911     0.7911
    0.7378     0.7378
    0.7822     0.7822
    0.7600     0.7600
    0.7644     0.7644
    0.8133     0.8133
    0.7289     0.7289
    0.7956     0.7956
    0.8089     0.8089
    0.8356     0.8356
    0.7822     0.7822
    0.8222     0.8222
    0.7644     0.7644
    0.7956     0.7956
    0.7600     0.7600
    0.7867     0.7867
    0.8133     0.8133
    0.7511     0.7511
    0.8178     0.8178
    0.7556     0.7556
    0.7733     0.7733
    0.7422     0.7422
    0.8133     0.8133
    0.8000     0.8000
    0.7911     0.7911
    0.7556     0.7556
    0.8133     0.8133
    0.7600     0.7600
    0.8044     0.8044
    0.7600     0.7600
    0.7733     0.7733
    0.7644     0.7644
    0.8267     0.8267
    0.8089     0.8089
    0.8133     0.8133
    0.7733     0.7733
    0.8311     0.8311
    0.8133     0.8133
    0.7867     0.7867
    0.7822     0.7822
    0.7956     0.7956
    0.7244     0.7244
    0.7644     0.7644
    0.8133     0.8133
    0.7644     0.7644
    0.7333     0.7333
    0.7200     0.7200
    0.7733     0.7733
    0.7644     0.7644
    0.7289     0.7289
    0.7822     0.7822
    0.8178     0.8178
    0.7822     0.7822
    0.8089     0.8089
    0.7289     0.7289
    0.8267     0.8267
    0.7822     0.7822
    0.7022     0.7022
    0.7156     0.7156
    0.7467     0.7467
    0.8133     0.8133
    0.7378     0.7378
    0.7511     0.7511
    0.7778     0.7778
    0.7556     0.7556
    0.7733     0.7733
    0.7956     0.7956
    0.8000     0.8000
    0.8089     0.8089
    0.7911     0.7911
    0.7778     0.7778
    0.8222     0.8222
    0.7511     0.7511
    0.8089     0.8089
    0.8000     0.8000
    0.7644     0.7644
    0.7911     0.7911
    0.8089     0.8089
    0.8089     0.8089
    0.8044     0.8044
    0.7600     0.7600
    0.7822     0.7822
    0.8222     0.8222
    0.7867     0.7867
    0.7511     0.7511
    0.7600     0.7600
    0.7822     0.7822
    0.6711     0.6711
    0.7822     0.7822
    0.7867     0.7867
    0.7956     0.7956
    0.7467     0.7467
    0.7378     0.7378
    0.7511     0.7511
    0.7333     0.7333
    0.7778     0.7778
    0.7689     0.7689
    0.7911     0.7911
    0.7600     0.7600
    0.8178     0.8178
    0.8089     0.8089
    0.7689     0.7689
    0.8222     0.8222
    0.8267     0.8267
    0.7822     0.7822
    0.7644     0.7644
    0.8044     0.8044
    0.7067     0.7067
    0.7511     0.7511
    0.7556     0.7556
    0.7689     0.7689
    0.7822     0.7822
    0.7467     0.7467
    0.8044     0.8044
    0.8089     0.8089
    0.7867     0.7867
    0.7511     0.7511
    0.7822     0.7822
    0.8267     0.8267
    0.7778     0.7778
    0.7511     0.7511
    0.8311     0.8311
    0.7733     0.7733
    0.8222     0.8222
    0.7556     0.7556
    0.7733     0.7733
    0.7511     0.7511
    0.7644     0.7644
    0.7867     0.7867
    0.7378     0.7378
    0.8133     0.8133
    0.8222     0.8222
    0.7911     0.7911
    0.7689     0.7689
    0.8089     0.8089
    0.8089     0.8089
    0.7778     0.7778
    0.8178     0.8178
    0.8044     0.8044
    0.8044     0.8044
    0.8133     0.8133
    0.7822     0.7822
    0.8044     0.8044
    0.8133     0.8133
    0.7733     0.7733
    0.8444     0.8444
    0.8267     0.8267
    0.7867     0.7867
    0.7422     0.7422
    0.7822     0.7822
    0.7911     0.7911
    0.7867     0.7867
    0.7644     0.7644
    0.7200     0.7200
    0.8044     0.8044
    0.7467     0.7467
    0.7822     0.7822
    0.7600     0.7600
    0.7733     0.7733
    0.8044     0.8044
    0.7600     0.7600
    0.7822     0.7822
    0.7467     0.7467
    0.7422     0.7422
    0.7911     0.7911
    0.7600     0.7600
    0.8133     0.8133
    0.7511     0.7511
    0.8000     0.8000
    0.7511     0.7511
